PLACE	DATE	TIME	DURATION	CATEGORY	CTITLE	ETITLE	GRADE	REMARK	PAGE
信義 12 廳	2009/11/11	13:00	94	(影迷嘉年華) 名家饗宴	詭房客	Nucingen House	護PG		46
信義 12 廳	2009/11/11	15:00	96	(影迷嘉年華) 來自海上的聲音-東南亞焦點	雙J奇緣	Jay	輔PG	★	58
信義 12 廳	2009/11/11	17:30	80	(全球華人視野) 華人獨立影像	潮爆北京	Beijing Is Coming	普G		69
信義 12 廳	2009/11/11	19:50	80	(特別企劃) 看見紫絲帶	紫絲帶短片輯	Purpleribbon Shorts Collection	普G	★▲	39
信義 12 廳	2009/11/11	22:10	94	(特別企劃) 看見紫絲帶	切膚之痛	Can Go Through Skin	限R		38
信義 12 廳	2009/11/12	11:30	133	(特別企劃) 我們曾經如此自由… 速寫 1989 ~ 1990 柏林圍牆紀念專題	尼可拉教堂	Nikolaichurch	普G	▲	41
信義 12 廳	2009/11/12	14:10	102	(全球華人視野) 華人獨立影像	華人獨立影像短片	Chinese Indie Shorts	普G		72
信義 12 廳	2009/11/12	16:30	120	(全球華人視野) 華人獨立影像	黑夜行路	Call If You Need Me	普G		69
信義 12 廳	2009/11/12	19:00	75	(奇幻世界) 短片動畫	凱爾斯的秘密	Brendan and the Secret of Kells	普G		124
信義 12 廳	2009/11/12	20:50	96	(影迷嘉年華) 來自海上的聲音-東南亞焦點	雙J奇緣	Jay	輔PG	★	58
信義 12 廳	2009/11/13	13:20	102	(全球華人視野) 華人獨立影像	華人獨立影像短片	Chinese Indie Shorts	普G		72
信義 12 廳	2009/11/13	15:30	122	(影迷嘉年華) 來自海上的聲音-東南亞焦點	人間樂土	Agrarian Utopia	普G		58
信義 12 廳	2009/11/13	18:00	47	(焦點影人) 轉眼人生： 市川準	我不買西裝	Buy a Suit	普G	◎	96
信義 12 廳	2009/11/13	19:20	80	(影迷嘉年華) 來自海上的聲音-東南亞焦點	大馬十五	15 Malaysia	普G		58
信義 12 廳	2009/11/13	21:10	80	(酷電影) 我是傳奇	雙面希區考克	Double Take	輔PG		87
信義 12 廳	2009/11/14	11:00	27	(特別企劃) 暗夜微光-照亮重建之路	雨過天晴	When the Rain Is Over	普G	★◎	42
