PLACE	DATE	TIME	DURATION	CATEGORY	CTITLE	ETITLE	GRADE	REMARK	PAGE
宜蘭演藝廳	11/15	12:00	114	入圍影片	高海拔之戀II	Romancing in Thin Air	普		56
宜蘭演藝廳	11/15	14:30	109	焦點影人 / 荻上直子	廁所	Toilet	普		252
宜蘭演藝廳	11/15	17:00	115	影迷嘉年華 / 名家饗宴	謊言的烙印	The Hunt	護	▲	110
宜蘭演藝廳	11/15	19:00	108	華語電影世界 / 中國獨立映像	有人讚美聰慧，有人則不	Don’t Expect Praises	普	★	94
宜蘭演藝廳	11/15	19:30	108	華語電影世界 / 中國獨立映像	有人讚美聰慧，有人則不	Don’t Expect Praises	普	★	94
友愛影城A廳	11/15	13:30	102	入圍影片	華麗之後	DIVA	護		67
友愛影城A廳	11/15	15:50	142	入圍影片	痞子英雄之全面開戰	Black & White: The Dawn of Assault	輔		70
友愛影城A廳	11/15	19:00	132	入圍影片	畫皮II：轉生術	Painted Skin: The Resurrection	輔		72
國賓影城＠長春廣場 A 廳	11/16	13:10	98	影迷嘉年華 / 歐洲速寫	三生情蛹	Chrysalis	輔		150
國賓影城＠長春廣場 A 廳	11/16	15:30	132	影迷嘉年華 / 拉丁狂熱	血光燦爛的日子	Days of Grace	限		172
國賓影城＠長春廣場 A 廳	11/16	18:30	127	影迷嘉年華 / 名家饗宴	愛．慕	Amour	護	▲	100
國賓影城＠長春廣場 A 廳	11/16	21:20	137	影迷嘉年華 / 名家饗宴	浪蕩世代	On the Road	輔		106
新光影城 1 廳	11/16	11:50	87	影迷嘉年華 / 歐洲速寫	巴黎海狗．冰島靈魂	Queen of Montreuil	護		137
新光影城 1 廳	11/16	14:00	110	影迷嘉年華 / 拉丁狂熱	左派教慾	The Student	限		169
新光影城 1 廳	11/16	16:30	108	次文化派對 / 音樂啟示錄	閉嘴聽音樂	Shut Up and Play The Hits	普		197
新光影城 1 廳	11/16	19:00	100	焦點影人 / 布里蘭特曼多薩	出讓丈夫的女人	Thy Womb	輔	★	223
